City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
447,Forrest City,35.0081,-90.7898,35.46,37,0,12.33,US,2022-01-29 00:49:33
448,Florence,43.7667,11.25,47.3,57,100,3.44,IT,2022-01-29 00:46:39
449,Neiafu,-18.65,-173.9833,83.35,75,37,17.96,TO,2022-01-29 00:49:33
450,Sabang,5.8933,95.3214,81.88,77,10,8.59,ID,2022-01-29 00:49:34
451,Bac Lieu,9.285,105.7244,77.97,78,94,3.87,VN,2022-01-29 00:49:34
452,Gwadar,25.1216,62.3254,67.64,65,0,7.43,PK,2022-01-29 00:49:35
453,Saucillo,28.0167,-105.2833,52.34,46,53,11.21,MX,2022-01-29 00:45:20
454,Kizhinga,51.8462,109.9097,-20.25,100,87,1.07,RU,2022-01-29 00:49:35
455,Jaque,7.5175,-78.1703,78.35,83,9,5.53,PA,2022-01-29 00:49:36
456,Lukiv,51.0521,25.4006,34.18,93,100,19.08,UA,2022-01-29 00:49:36
457,Tezu,27.9167,96.1667,50.14,45,0,4.25,IN,2022-01-29 00:49:36
458,Te Anau,-45.4167,167.7167,71.49,38,95,6.91,NZ,2022-01-29 00:49:37
459,Billings,45.7833,-108.5007,42.57,26,100,26.46,US,2022-01-29 00:49:37
460,Weinan,34.5036,109.5089,28.09,68,96,2.53,CN,2022-01-29 00:49:38
461,Manaus,-3.1019,-60.025,77.5,94,75,1.14,BR,2022-01-29 00:50:05
462,Nelson Bay,-32.7167,152.15,89.29,60,0,1.99,AU,2022-01-29 00:46:39
463,Jatai,-17.8814,-51.7144,68.58,94,100,4.85,BR,2022-01-29 00:50:38
464,Banjar,-8.19,114.9675,84.06,82,100,1.05,ID,2022-01-29 00:50:39
465,Korla,41.7597,86.1469,20.35,66,0,5.41,CN,2022-01-29 00:50:39
466,Asyut,27.181,31.1837,42.98,54,0,7.0,EG,2022-01-29 00:50:39
467,Krasnyy Chikoy,50.3643,108.7512,-20.92,100,84,0.81,RU,2022-01-29 00:50:40
468,Lamu,-2.2717,40.902,79.02,87,100,7.74,KE,2022-01-29 00:50:40
469,San Policarpo,12.1791,125.5072,80.55,82,100,5.32,PH,2022-01-29 00:50:40
470,Byron Bay,-28.65,153.6167,82.35,69,72,9.31,AU,2022-01-29 00:45:57
471,Dunedin,-45.8742,170.5036,67.55,62,100,5.44,NZ,2022-01-29 00:50:41
472,Tailai,46.3833,123.4,6.06,73,9,7.4,CN,2022-01-29 00:50:41
473,Huarmey,-10.0681,-78.1522,70.61,83,100,8.23,PE,2022-01-29 00:50:41
474,Birao,10.2849,22.7882,66.24,16,88,10.27,CF,2022-01-29 00:50:42
475,Lima,-12.0432,-77.0282,70.39,80,40,13.8,PE,2022-01-29 00:50:42
476,Ascension,30.2169,-90.9001,50.0,41,0,9.22,US,2022-01-29 00:50:43
477,Markova,48.6758,24.4138,25.68,94,100,11.39,UA,2022-01-29 00:50:43
478,Churachandpur,24.3333,93.6667,43.88,90,0,1.68,IN,2022-01-29 00:50:43
479,Carutapera,-1.195,-46.02,74.84,91,100,11.01,BR,2022-01-29 00:50:44
480,Sliven,42.6858,26.3292,32.36,78,78,7.83,BG,2022-01-29 00:50:44
481,Kamina,-8.7386,24.9906,63.64,97,100,3.76,CD,2022-01-29 00:50:44
482,Sibolga,1.7427,98.7792,77.74,84,100,3.15,ID,2022-01-29 00:50:45
483,Warwick,41.7001,-71.4162,32.34,89,100,4.61,US,2022-01-29 00:47:15
484,Batemans Bay,-35.7167,150.1833,87.98,71,100,6.15,AU,2022-01-29 00:50:45
485,Ouadda,8.0777,22.4007,65.73,22,10,7.52,CF,2022-01-29 00:50:45
486,Covington,39.0837,-84.5086,20.12,87,100,11.5,US,2022-01-29 00:48:57
487,Havre-Saint-Pierre,50.2334,-63.5986,10.99,72,0,13.8,CA,2022-01-29 00:50:46
488,Fortuna,40.5982,-124.1573,58.12,62,0,5.75,US,2022-01-29 00:50:46
489,Lazaro Cardenas,17.9583,-102.2,77.09,72,0,6.22,MX,2022-01-29 00:50:47
490,Luderitz,-26.6481,15.1594,68.58,72,0,26.28,NA,2022-01-29 00:50:47
491,Merauke,-8.4667,140.3333,85.35,69,100,10.04,ID,2022-01-29 00:50:47
492,Uren,57.4552,45.7852,15.98,95,100,7.52,RU,2022-01-29 00:50:48
493,Zhezkazgan,47.8043,67.7144,14.83,92,100,12.28,KZ,2022-01-29 00:50:48
494,Marzuq,14.4,46.4667,58.3,30,21,3.09,YE,2022-01-29 00:50:48
495,Palampur,32.1167,76.5333,41.58,53,0,7.47,IN,2022-01-29 00:50:49
496,Tiznit,29.5833,-9.5,55.15,40,0,29.06,MA,2022-01-29 00:50:49
497,Ouargaye,11.5033,0.0572,75.7,20,39,12.12,BF,2022-01-29 00:50:49
498,Prachuap Khiri Khan,12.2167,99.75,79.68,67,14,2.95,TH,2022-01-29 00:47:48
499,Olinda,-8.0089,-34.8553,78.53,78,20,3.44,BR,2022-01-29 00:50:50
500,Elizabeth City,36.2946,-76.2511,41.02,83,100,1.01,US,2022-01-29 00:50:50
501,Rexburg,43.826,-111.7897,20.46,62,0,3.44,US,2022-01-29 00:49:27
502,Kattivakkam,13.2167,80.3167,80.08,79,94,13.78,IN,2022-01-29 00:50:51
503,Trinidad,-14.8333,-64.9,73.38,96,100,1.34,BO,2022-01-29 00:50:51
504,Lauro Muller,-28.3928,-49.3967,62.53,98,99,0.94,BR,2022-01-29 00:50:52
505,Sechura,-5.5569,-80.8222,74.12,72,100,11.23,PE,2022-01-29 00:50:52
506,Aksarka,66.5606,67.7975,-2.25,96,100,7.96,RU,2022-01-29 00:50:52
507,Dali,25.7,100.1833,38.28,84,4,2.24,CN,2022-01-29 00:50:53
